idioms,literal_meaning
ቆይ,ወደፊት አሳይሀለሁ
ሌላ ሌላውን,ጥሩ ጥሩውን
የሆነው ይሆናል,ከልኩ አያልፍም
ሰው ለየ,አዳላ
መለስ ቀለስ,መመላለስ
ሆዱን ቦረቦረው,ራበው
ቁም ስቅል አሳዬ,ወይዘሮ ያዘ
ብረት ሰሪ,ቀጥቃጭ አንጥረኛ
ቃጠሎ,በጣም ሞቃት
የሴት መዶሎቻ,ጓዳ
ስር የለሽ,ዘሩ የማይታወቅ ለሰው
መቆራረጥ,መለያየት
ቆሌው ተነስቷል,መቆጣት አምሮታል
ሙክቱ ቀለጠ,እጅግ ሰባ
አፉን አቆመ,ለመናገር ቸኮለ
ቅር ቅር አለው,ውል ውል አለው
አታቀርሽብኝ,ቆሻሻ ነገር አትናገር
ሀዘን ተነባበረበት,እየደጋገመ አጠቃው
ነበርን ባይ,ወገኛ ያለፈውን የሚያጋንን
የበቃ,ፃድቅ
ቀባ,ስም አሳደፈ
ሰው መሆን አይቀርም,መሳሳት አይቀርም
ቁም እግዚአብሄር,ከዚህ አትለፍ የተባለ ሰው
ልቡ ተነሳ,ለመሄድ ተቻኮለ
ልቡ ሞተ,ድፍረት ንቃት አጣ ሰነፈ
ዋጋ ሰቀለ,ከፍ አደረገ
ይቅር ባይ,ታጋሽ
ይቅር አሰኘ,አስታረቀ
አለዘበ,አባባለ አግባባ
ልበ ጡል,እብድ ዝንጉ
ሀሞቱ ፈሰሰ,ሰነፈ
ሴት አውል,ከሴቶች አካባቢ የማይጠፋ
አነሳሽ,ጎትጓች
ሰመር ገባ,ተያዘ ተሸነፈ
ከነገር ሸተት አለ,ራቀ
ራስ የለውም,አያሳብም
ቃሉን ሰጠኝ,ውለታ ገባልኝ
ልቡን ነሳው,አሳበደው
ቀለሙ ተሰበረ,ሲመቱ ቀዘቀዘ
ሆዴ,ፍቅሬ
ጦሩን ነዘረ,ጦሩን ሰበቀ
የተረሳውን ጎን ቀሰቀሰ,አስታወሰ
የግንባር ስጋ,ደፋር
በሬ,እንከፍ
ሽጓጣ,ኮስማና
ቆይ ብቻ,ግዴለም የሚገባህን ታገኛለህ ዛቻ
ራሱን ሰወረ,ባለማታወቅ ኖረ
ጠበቃ አቆመ,ነገሩን ጠበቅ አደረገው
ብቅ ጥልቅ አለ,ወጣ ገባ አለ
ቱግ አለ,ድንገት ተቆጣ
ቤቱ ሰው አያውቀውም,አያበላም አያጠጣም
ቤት የመለሰው,በቤት ውስጥ ያለ ማንኛውም እቃ
ልቡ ራሰ,የፈለገው ስለሆነለት ተደሰተ
አይለመድ,ሁለተኛ አይደገምም
ረጠበ,አገዘ
ሳል ተከለበት,የማይለቅ ሳል ያዘው
በንዴት ተቃጠለ,አምሮ ተቆጣ
መንገድ አሳበረ,አቋረጠ
እንደየሁኔታው,እንደየነገሩ
እንዝርት ቂጥ,ቀዥቃዣ አንድ ቦታ ረግቶ የማይቀመጥ
ገዛ ነዳ,በስልጣኑ ስር አምበረከከ
ነገር ቋጠረ,ቂም ያዘ
መስከረም ነጋ,መስከረም ተጀመረ
ባጭር አስቀረ,ቀሰፈ
መሬቱ ቀና,ለእርሻ ምቹ ሆነ
የበይ ተመልካች,ለመብላት እድል ያልገጠመው
የጨረቃ ቀንድ,ለጋ
ቅጠ መልካም,ሁኔታው ያማረ
እየቀደም,እያደር
ቃሌ ነው,ብያለሁ
ቆሌያም,ሰይጣናም
እየቅል እየቅሉ,ለየብቻ
ቁስሉ ቂም ያዘ,አገረሸ
በረከት አጣ,ቶሎ አለቀ
ልቡ ተሰነጠቀ,ደነገጠ
በዘልማድ,በተለምዶ
ምኑና ምኑ ተይዞ,እንዴት ሊሳካ
እሳቱ ብው አደረገው,አቃጥሎ ጨረሰው
ሰውዬው ቡዳ ነው,የማያውቀው ነገር የለም
ልብ አቁስል,ጨቅጫቃ ነዝናዛ
በሬ ወለደ,የውሸት ውሸት
አመሳቅሎ ለበሰ,አደገደገ
ቁቲት በጣሽ,ሸማኔ
ትከሻ ሰጠ,ተኩራራ
በሹመት ነበበ,የበላይነት ተሾመ
ታቦት ተከለ,ቤተክርስትያን ሰራ
ብትን ንባብ,ጥሩ ንባብ
በቃልሉ ፀና,በተስማማበት ረጋ
ስመኛ,ሰበበኛ
ጥርሰ በረዶ,በጣም ነጭ ጥርስ ያለው
የሰማንያ ሚስት,የህግ ሚስት
የፊቱን ጦር ቀመሰ,በፊት ገጠመ
ራሱ ጠና,ነብስ አወቀ
ቆርጦ ቀጥል,አስመስሎ ተናጋሪ
ቃልዎ ይድረሰኝ አለ,ተገዘተ
ሹም ሽር,ስልጣን
የቃል ፅህፈት,በቃል እየተነገረ የሚፃፍ
አሟልቶ ሰጠው,ደላው
ደግ ቀን,የጥጋብ ጊዜ
የነገር ሰረገላ,ስውርና ድብቅ
ለዛ ሙጥጤ,ጣመ ቢስ
መሬት አስላሰ,አዋረደ
መምህር አልሰጠም,አዝመራ አላማረም
ዘንዶ ማገር,ወጋግራውን የሰበሰበውን ባላ የሚሸከም
የወሰደውን ገንዘብ ተፋው,መለሰ
ቆቻ ዋለ,ከሁለት ጎበዝ ተወዳደረ
ከንፈሩን ሚን ሚን አደረገ,እንደመሳቅ አለ
ብርድ ቆነደደው,አብዝቶ በረደው
ብላ ባለኝ,ምነው በተሳካ
የቤት ውልድ,እጌታው ቤት የተወለደ አገልጋይ
ቀልብ ገዛ,አስተዋይ ሆነ
መላ መታ,ዘዴ ያለበት ሀሳብ አቀረበ
በጉ,ሞኝ
ቀፈፈ,ለመነ
ቋቱ ጠብ አለ,ጥቂት ጥቂት ተገኘ
ስልጣኑ ተያዘ,እንዳይቀድስ ተከለከለ
በቁርጥ አደር,በታወቀ ጥቅም
ትከሻ ሰጠ,በንቀት አይን ተመለከተ
ብርክ ብርክ አለው,ፍራት ፍራት አለው
ለፍቶ መና,ትርፍ የለሽ ድካም
ሲጥ አደረገው,አፍኖ ገደለው
በሳቅ ተተረተረ,በጣም ሳቀ
ሴተ ላጤ,ያላገባች
ራስ ራሱን,ዋና ውናውን
ልበ ቀላል,ትእግስት አልባ ችኩል
ፊቱ መጠጠ,ፊቱ ከሳ
ከቁንጫ ሌጦ ማውጣት,ጥቃቅን ሳንካ በሰው ላይ ማውጣት
መቼ ጠፋኝ,አውቀዋለሁ
ልቡን ሰለበው,ወፈፍ አደረገው
ብድር ከፋይ,ውለታ መላሽ
ብቅሉ አናቱ ላይ ወጣ,ሰከረ
የት ሁነህ ነው,የት ነበርክ
ሀብተ ሰባራ,ምን ቢደክም የማይሆንለት
ሞት ይርሳኝ,መዘንጋት አልነበረብኝም
ነቃላ,የሚቸኩል ሰው
ቁም ስቅል አሳየ,ረበሸ
የሩቅ ዘመድ,ቶሎ የማይደርስ
ቅንብቻ ሆድ,ሆዱ ጉዝር ሰው
ባለቅልጥም,በጉልበቱ የሚኖር ጉልበተኛ
ያይን ቆብ,ቅንድብ
ልብሱ ተቀበለው,ልብሱ አማረበት
ሸለተ,አታለለ
አስመታ,አሰረረ
ቀጠንጠን አድርጎታል,ተቅማጥ ያዘው
ሰውየው ተጣብቶኛል,ቂሙን አልረሳ ብሎኛል
የሰይጣን ፈረስ,ያለክፉ ሌላ ነገር የማያውቅ
ልጓም አጥባቂ,ፈሪ
ጥርሱን ነከሰ,ዛተ
የቂጥ ማረፊያ,ትንሽ የራስ መሬት
ልበ ጥሩ,ተንኮል የሌለበት
ውሸቱን ሸመጠጠው,እውነቱን ትቶ ሀሰት ብቻ ተናገረ
ቅል ኪዳን ተጋባ,ተስማሙ
አዛዩን ነካሽ,የሚረዳውን ጎጂ
የሰው ሰው,ዘመድ ወገን ያልሆነ
ካሳ ሰራ,ይህን ያህል ትከፍላለህ አለ
ከማን አንሼ,ተግደርዳሪ
የስጋ ዘመድ,ተወላጅ
ቀባ ቆራጭ,ከገደል ላይ ማር አውጭ
ህግ ተላለፈ,ወንጀል ሰራ
በረዶ መታው,በረዶ አረገፈው
ትክል ድንጋይ,የማይንቀሳቀስ
ራስ ምታት,ራስ ህመም
ለበቃ ለባቃ,ጥንካሬ የሌለው
ሙርጥ አወጣ,ሸክላው ተሰነጠቀ
እጅ ቃጣ,እጅ ሰነዘረ
ሰኔና ሰኞ,ደንገተኛ አጋጣሚ
በመጠጥ ተራጨ,እንደልቡ ጠጣ
ቃርያው በሰለ,ለመበላት ደረሰ
ቁልፍ ሰው,ዋና ሰው
ልበ ቀን,ትሁት ደግ
መፅሀፉን ቀዳ,መፅሀፍ ገለበጠ
እንባ ተናነቀው,ሊያለቅስ ቃጣው
ብርክርክ አለ,አቅም አነሰው
ቦርቦር አለ,በገርነት በየዋህነት ተናገረ
ዱላ ቀረሽ,የዱላ ያህል የሚገመት
ሻ አለ,ፈለገ
ቁስሉን ነካው,በጣም የሚሰማውን ነገር አነሳበት
ባለሱሪ,ወንድ ኮምጣጣ ቆፍጣና
ልቡ ቀና,ጥሩ ሆነ
ውሀ ያነሳል,ብዙ ውሀ ይፈልጋል
የእቡይ ሞረድ,ትእቢተኛን የሚያስተካክል
አነባብሮ,ወፍራም ድርብርብ ያልቦካ አፍለኛ እንጀራ
ባርያ ጣለው,የሚጥል በሽታ
አንገቱን ሰበረ,አዘነ
ቆራጭ ፈላጭ,እንደ ፈቀደው አድራጊ
ላክ አደረገ,በፍጥነት በላ
ሰነፍ ቆሎ,የገብስ አይነት ቆሎ
የልመና እህል,ኮስማና
በጥፊ ለጠፈበት,በጥፊ መታው
አልጋ ነቀነቀ,ንጉሱን ለማውረድ ሞከረ
ነቅ ገብቷል,ቅያሜ ገብቷል
ልሳኑ ተዘጋ,መናገር አቃተው
ሰይጣን ይዞታል,ሁልጊዜ የሚሰራው የተንኮል ስራ ነው
በር በሩን አዬ,አሁን አሁን ይመጣል ብሎ በጉጉት ተጠባባቀ
ርስት ተከለ,ርስት ሰጠ
የቤተሰብ ባላ,አውራ
ብጣሻም,አጉል አኩራፊ
ይሰበር ደጋሚ,ከእንግዲህ አልሰራም
ሰኔ ነግ በኔ,የማይደርስ ነገር የለም
አይኑ ይሳሳል,ንፉግ ነው
ገበታ ሰራ,አዘጋጀ
ቆዳው ሞኝ,ብልህ
እጁን ሰነዘረ,ሊሰጥ ፈለገ
ሰርቶ አፍራሽ,እግዚያብሄር
ምስጋና ይግባው,ይሁንለት ይቅረብለት
ቅኝ አገር,በሀይል የያዙት ሀገር
ተራ ንግግር,አርቆ አሳቢ
ርእስ አንቀፅ,መንደርደሪያ ትችት
ለዘር በቃ,ወለደ
ጦሩ በረደ,ቆመ
እጁን ቀሰረብኝ,ዛተብኝ
ቃል አባይ,ዋሾ
ስመ ጥር,ገናና
ስርቆሽ በር,የተደበቀ መግቢያና መውጫ በር
ልቡን ቆረቆረው,ጥርጣሬ አደረበት
ወኔው ቀዘቀዘ,ወኔው በረደ
መከራ አሳየ,አስቸገረ
ምድር ዋጠው,ጨርሶ ጠፋ
ሆድ ሰጠ,አሳቡን ነገረ
ሰላም ረግቷል,ጦርነት ወይም ብጥብጥ አቁሟል
እንባ በንባ ተራጨ,ሁሉም ተላቀሰ
ምስጢር አየ,ቤተልሄም ደጀ ብርሀን ገባ
ብድር መለሰ,ቂሙን ተወጣ
ትከሻውን አሳዩ,ተኩራራ
እጅ ማሟሻ,እጅን ማስለመጃ
ቤቴ ቤቴ አለ,ትዳሬን ትዳሬን አለ
ዘር ቆጠረ,የዘር ግንዱን ተናገረ
ልብ ለልብ,አሳብ ለአሳብ
የነገር ማቋራጫ,ያልተሟላ ነገር
የተተፋ,የተገለለ
ገበታ ረጋጭ,ባልጌ
ቆመልኝ,ሞገተልኝ
ማስመለስ,ማስታወክ
ባለቅኔ,ቅኔ አዋቂ
ቃናው ተለወጠ,ጣእሙ ሌላ ሆነ
ትም አደረገ,ንብረቱን ቶሎ ጨረሰ
ሀብተ ነፍስ,ፅድቅ
አስመለከተህና,አሳሰብህና
ደመናው ተሾመ,በአየር ላይ ተንሳራፋ
ስሙን በከለው,ስሙን አጠፋው
የተወለደበትን ቀን አስቆጠረው,መወለዱን አስጠላው
ብው አለ,ተናደደ
የሰጡትን ይይዛል,የዘሩትን ያበቅላል
ልቡ ሸፈተ,ነገሩን አልቀበል አለ
አሸናው,አስፈራራው
ልብሷን ቀደደች,በጣም አዘነች
ነወር አለ,እንግዳ ሲመጣ ተነስቶ አክብሮ ተቀበለ
ቁም ከብት,የቀንድ ከብት እንስሳት
እጀ ስንኩል,የማይሰራ
የጥርስ ስጋ,ጨቅጫቃ ነዝናዛ
ሞት በቃ,የሞት ፍርድ
ቀን በቀን,በብርሀን
ቅዳሴ ታጎለ,ሳይቀደስ ቀረ
እንደ እንዝርት ሾረ,ትእዛዝ በፍጥነት ፈፀመ
መንገድ ቀጠለ,ጉዞን ካቋረጠ በኋላ ሄደ
በደረቁ ላጨ,አታለለ
የበላን ያብላላዋል,ያለው የበለጠ ይፈልጋል
ርጥብ ነው,እድላም ነው
ምስጥር ቀበረ,ሸሸገ ወይም ቀበረ
እንባ አነቀው,ሲቃ ያዘው
በወርቅና በብር ነደደ,በጣም አጊጠ
ሁነኛ,ታማኝ
እቅጩን ተናገረ,ቁርጡን ተናገረ
ሰልፍን አሳምር,ከሰው ተስማማ
የሆነው ሁኖ,ያለፈው አልፎ
አይሁን,አይደረግ
ረሀብ ቆነደደው,ክፉኛ ራበው
ነከረበት,ወጋው
ምን ብዬ,ምን ተናግሬ
እህል ውሀው ተበጠሰ,ኑሮው አከተመ
ነፋሱ ተነሳ,በጣም ነፈሰ
ሀብቷ ቀና,ተመረጠች
ልክፍታ,የአእምሮ በሽታ
አራጋፊ,አጫራሽ
አውድማ በረበረ,የሚወቃ እህል አገላበጠ
ልቡ ተቃጠለ,ተናደደ ተበሳጨ
እቅዱ መክኖ ቀረ,በተግባር አልታየም
መንጥሮ አጠበ,አጥርቶ አጠበ
ሰንጣቃ,ለፍላፊ
ሳይሆን,ወይንም
ሰነፍ መረቅ,ቀላል መረቅ የስጋ ውሀ ያለበት
አይኑ በረረ,ፊቱ ጭው አለ
ትክለኛ,ርስት ያገኘ ሰው
የቀለም አባት,አስተማረ
መሸጦ,ባሪያ
ቃል ማሰሪያ,የጋብቻ ውል መፈፀሚያ
በቀላሉ ሸጠኝ,አታለለኝ
የደሀ እንባ,የደሀ በደል
ሞት ሞት ሸተተው,አደጋ ታየው
ቀን ለቀን,ሳይመሽ
አሻሻጭ,ሴተኛ አዳሪ
ልቡን ሰለበችው,በፍቅር ነደፈችው
ሁሉ አገርሽ,የሄደበት ሁሉ የሚስማማው
ውሸቱን ቀረደደው,አብዝቶ ዋሸ
ስምህን ቄስ ያንሳው,ሙት
ሞት የተፋው,በጣም ታሞ የዳነ
አመረረ,ጥል አነሳ ቆረጠ
ተብላላ,ተዋሀደ
ብታደራልኝ አማግሁልህ,መልሼ ሰደብኩህ
ቀን ወጣ,አጋጣሚ ፈልጎ
ተባራሪ ነጋዴ,ዘዋሪ ነጋዴ
ውርደት ተሸከመ,ውርደት ተቀበለ
ሆድ እቃ,ሰውነት
ስሙን መነዘረው,በሀሜት አጠፋው
ከብቱ ጥርሱን ሰብሯል,ሸርፏል
የሰማይ ቁጣ,የእግዜር ቁጣ
ልቤን ማረከችው,ወደድኳት
አፍፉን ለቀቀ,ለፈለፈ
ቅጠል በጣሽ,ጠንቋይ
በዛሁ ቀንሱልኝ አለ,የያዘውን አጣ
ልቡ ቆመ,አንድ ነገር ለመስራት ቸኮለ ጓጓ
እርጥብ ናት,ወላድ ናት
አለቃና ምንዝር,አለቃና ታዛዥ
ውሻ አይበላው ጥል,ቅጥ ያጣ ጥል
ሳይሳካ ቀረ,አልተያዘም
ቀነ ቀጠሮ,መሞቻ
ቃሉ ጎደለ,ያዘዘው ሳይፈፀም ቀረ
በል ልበልህ,ተናገር ልናገር
ላብ ላብ አለው,ፈራ
ልቡ ተሸበረ,ፍርሀት አደረበት
ስር ስሩን,ውስጥ ውስጡን
ቁጥብ,የተገታ የተወሰነ
አትቆስቁሰኝ,የተኛውን ልቤን አታስነሳብኝ
በዱላ አለፋው,ደግሞ ደጋግሞ ደበደበው
ልበ ደንዳና,ግትር
ርካሽ,ቀላል ዋጋ
ተበታትነው ቀሩ,ተለያይተው ቀሩ
ልቡ ቆሰለ,ተበሳጨ ተነዳደ
መቼ እንዲህ አልኩ,አልተናገሩም
ነቂስ በነቂስ,አንድም ሳይቀር
በኩራት ተነፋ,ተጀነነ
ተረባረበ,እጅ በጅ ተጣደፈ
አይነ ሌባ,በአይኑ የሚፈልግ
ሸክሜ ወረደልኝ,ሀሳቤ ተቃለለ
በር መታ,አንኳኳ
የማሪያም ምሳ,የመጀመሪያ የአራስ ገንፎ
በእንቅልፍ ልብ,በህልም
የምስጥ ቤት,ኩይሳ
የሆነ ሰው,አንድ ሰው
ረድኤታም እህል,በቶሎ የማያልቅ እህል
በቀስት ነድፎ ጣለው,ወግቶ ጣለው
አይሆንልኝም,አልችልም
ልብ ነሳ,ረበሸ
መስቀል መተኮሻ,የደመራ ቦታ
ብሩ አጠር ያለ,ብዙ ፍሬ የያዘ እህል
ድህነት ሰለጠነ,እየከፋ ሄደ
ከተማ በላው,እከተማ ውስጥ ጠፍቶ ቀረ
ልበ ፈሪ,ተርበድባጅ
በልዩ,በእውቅ
ፊደል ለየ,ፊደሎቹን ማወቅ ጀመረ
በቃ በለው,ማረው
ባዝራዋ ተመታች,ከወንድ ጋር ተገናኘች
ሽቢያ ጋለበ,ስር የሌለው ነገር ተናገረ
ልቡ በረረ,አልሸከፍ አለ
የቤት ስራ,ከገበያ ያልተገዛ
በቃ በቃ ተባባሉ,ታረቁ
አንጀቱ ተቆረጠ,ተስፋ አጣ
ምድር አስጋጠ,ድል ነሳ
ተምሳሊተ ብዙ,የሚያናድድ ነገር የሌለው
ደምወዝ ቆረጠ,ደምወዝ ወሰነ
በትኩሱ,ሳይቆይ
ልብ አሳጣ,ፋታ አሳጣ
ምላሱን አሾለ,ለነገር ተዘጋጀ
ተራ ወታደር,ማእረግ የሌለው ወታደር
ዛሩ ተሾመ,ዛር ተነሳ
ቤት ከቤቱ ገባ,የሚስት ወገን ለባል ወገን ተዳረ
ረጋ ስራሽ,ጥሩ ስራ
ባህር መዝገብ,ትልቅ መዝገብ
ቅኔ ቆጠረ,አዘጋጀ
ብረ ወጥ,ትምህርቱን እንደጨረሰ በስራ ላይ ያለ ደቀ መዝሙር
ሬሳ ሆነ,ዛለ
ባለደም,ለበቀል የሚፈላለጉ
የማርያም መቀነት,ቀስተ ደመና
ቢስ አይይህ,ክፉ ነገር አይግጠምህ
ብር ብር አደረገ,እረፍት ነሳ
ንቅስ ያለች,በጣም ቆንጆ
ረገፈ,ሞተ
በሀዘን ሰጠመ,ብርቱ ሀዘን ያዘው
በኩራት ተበጣጠሰ,በጣም ተጀነነ
ዋስ ሁነኝ,ዋስ ላድርግልህ
የስጋ ቁራጭ,ዘመድ
ቤት አፈረሰ,ትዳር አፈረሰ
ምን ቆርጦት,ምን ቢያግደው እንዴት ቢታበይ
አበጥሮ ፈለገ,ጥሩ አድርጎ እስኪገኝ ድረስ ፈለገ
ባላባት,ከትልቅ የተወለደ
ፈረሱን አስነሳ,ኮረኮረ
ሶስት ሰበር,እድሜው የገፋ ከብት
ስር ነቀል,ተስፈንጣሪ
ሞኝ ያገኘው ፈሊጥ,ያማረበት የሚመስለው አስከፊ ነገር
አመለ ቁርንጭ,መጥፎ ጠባይ ያለው ሰው
መሬት ሰነጋ,አከፋፈለ
ቀጥቃጣ,ንፉግ
ተራ ሰው,ሹመት የሌለው ሰው
ለጦርነት ታጠቀ,ተዘጋጀ
አነካኪ,አጣይ
አንጀቴ ቅቤ ጠጣ,የፈለገው ተሳካለት
ምድር ዞረበት,ውደቅ ውደቅ አለው
ይብላኝለት,ሁኔታው አሳዛኝ ነው
ብስል ተቀሊል,ጥሩና መጥፎ
ቆንዳ ቆንዴ አለ,አለሁ አለሁ አለ
አብላላው,እንዲዋሀደው አደረገ
ቀን ሆነ,በጣም ረፈደ
ቢስ ገላ,ቁምጥና
ፊት በላሁ,በብሩህ ገፅ ተቀበሉኝ
ትፋታም,ሰካራም
አይነ ምድር,ሰገራ
መጭ አለ,ተፈተለከ
ቀኔ ነው,የኔ ጊዜ ነው
ብትን ቃል,የቃላት ክምችት
ዘፈኑ ቀለጠ,ደመቀ
መከራ ተቀበለ,ተሰቃየ
በጥፊ ቀለጠ,ተመታ
ምናምን,የማይረባ
ሞገስ አገኘ,ተወደደ
ጥርሴን ነዘነዘኝ,ህመሙ አልተው አለኝ
አርፈ መስቀል,መቁረቢያ ማንኪያ
ባልሆነ,ባልተደረገ
ምድር ለቀቀ,ነጋ
ርጥባን,የእርዳታ ገንዘብ
አትነካካኝ,በሽታዬን አታምጣብኝ
አቀላወጠ,ትንሽ የሚበላ ሰጠ
ልበ ጥልቅ,ተመራማሪ አስተያየተ ሰፊ
ሙሉ አካል,ችግር የሌለበት
ርጥብ ሬሳ,ትኩስ ሬሳ
ለአህያ ማር አይጥማትም,ልማዷ ስላልሆነ አትፈልገውም
ምን ይበጀኝ,እንዴት አድርጌ ከዚህ ችግር ልውጣ
ቢያክ ቢያክ አለ,አጥላላ
ቀንድ አሽሽ,ፈሪ
በስራ ላይ,በመስራት ላይ
የልብ ሰንኮፍ,የልብ ቂም
በር ዘጊ,ንብረት ጠባቂ
የቂል በትር,አስተዋይነት የጎደለው አመታት
ልቡን መታው,በብዛት አስደነቀው
ምን ቆርረጠኝ,እንዴት ብዬ
ስሙን ተከለ,ዝነኛ ሆነ
ሀሞተቢስ,ፈሪ
ይሯሯጣል,ያስኩህ ያስኩህ ይላል
እድሜው ተበጠሰ,እድሜው አጠረ
ቁስሉ በላው,ቁስሉ አሳከከው
ወባ ነደፈችው,ያዘችው
ስራህ ብዙ,የሚደነቅ
ትቶህ ይሂድ,ለብሰህ ጨርሰው
በቁሙ,እንዳለ ሳይለወጥ
ሰው መብላት,ሰው ማማት
ምስለ ቢስ,መልከ ጥፉ መልኩ የማያምር
ቤት ማያ,አዲስ የተጋቡ የሚደግሱት ድግስ
ሰውነቱን በላው,አሳከከው
ልበ ደረቅ,የማያዝን
የሴት ልጅ,ያልተቀጣ
ስራት ለበሰ,ዋስ ጠራ
አንጀቱ ራሰ,የፈገው ሆነለት
ባዶ አፍ,ጦሙን
ልበ ጎረምሳ,ወኔያም
የወዲያ ስራ,ከውጭ የመጣ
አንገት ቀጨ,አንገት ወለም አለው
አልተቻለውም,አልተመቸውም አልደላውም
ልበ ሰፊ,ቻይ ታጋሽ
ሆድ ሲያውቅ ዶሮ ማታ,ራስን መደለል
የውሎ አበል,ለስራ ለወጣ መንገደኛ የሚከፈል ገንዘብ
ሆኖም,ከዚህም በላይ
ታች አብሽ ወረደ,የዝቃጭ ዝቃጭ ሆነ
አፉን ተመተመ,ዝም አለ
ቅኔ አትናገር,የተሰወረ ነገር አትናገሪ
ቀን ሲያዘነብል,ቀን ሲከዳ
ልቡ ረጋ,ከሀሳብ ዳነ
ሞቴን ሞት ወሰደው,የኔን ሞት የጠላቴ ሞት አስቀረው
ምክሩ አጥንት ይሰብራል,ጠልቆ ይገባል
ወይን ረገጠ,ወይን ጨመቀ
ሆዱን ሰጠ,ምስጢር ገለጠ
ከቋት ከቋቱ,ወዲያው ወዲያው
ይሁን,እሺ
ተቃለለ,እያነሰ ሄደ
ግፍ ሰራ,በደለ
መንታ ልብ,ልበ ወላዋይ
ይሁንልህ,የፈለከው ይድረስልህ
ከአንገት በላይ,ከልብ ያልሆነ
ልቡን ሰረቀው,አጥወለወለው
ቆብ ጫነ,መነኮሰ
በሽታው ለቀቀው,ንዴቱ በረደለት
ቋንቋው አልገባውም,ምስጢሩ አልገባውም
ተረከከው,ፈለጠው
ባዶ እንጀራ,መበያ የሌለው
መድሀኒቱ ረከሰ,አልሰራ አለ
የቀረው ቢቀር,ሲሆን ሲሆን
ባለ ወግ,የቤተ መንግስት ተሿሚ
መንገድ መታው,ረጅም ጉዞ ተጉዞ ጉዳዩ ሳይሳካለት ቀረ
ሀብትሽ በሀብቴ,አብረን የምናገኘው
በር መታ,አንኳኳ
አንቅሮ ተፋው,ከልቡ አወጣው
ቁሞች,እንስሶች
ልብ አፈረሰ,ነዘነዘ
የሰው አይን በላው,ቡዳ በላው
ተባላ,ተማማ
ሆድ ለሆድ,ሀሳብ ለሀሳብ
ስራ ቤት,የመእድ ቤት ሰራተኛ
ነውር ጌጡ,ይሉኝ አይል ልክስክስ
ሰልፍ ዉጣ,ለሰልፍ ሄደ
ልቡን ሸነጠው,ተደፋፈረ ተነሳሳ
ነገረ ሰሪ,አናካሽ
ትዳሩን አሸነፈ,ራሱን ቻለ
ቤት መምቻ,የቅኔ ስንኝ
ዱላ ቀመሰ,ተመታ
ምድር ፊት,የማያምር
ጥፊ ላሰ,በጥፊ ተመታ
በራሪ ወረቀት,ለደረሰኝ ተቀባይ የሚሰጥ ወረቀት
የነገር ቤት,ጭቅጭቅ የበዛበትምህርት ቤት
ቤቴን እሳት ላፈው,አቃጣለው
አይቡ መጠጠ,ኮምጠጥ አለ መጣጣ አይብ 
ሀረግ መዘዘ,ዘሩን ቆጠረ
የሰው ቤት,የራስ ያልሆነ ቤት
ሰዶ ማሳደድ,የያዙትን ለቆ ፍለጋ መሄድ
ውርርድ ተከለ,መወራረጃውን ጠራ
ፀጉር ሸሸ,ተመለጠ
ሁኔታው አይፈቅድም,ለመስራት ያዳግታል
አሰባሰበ,አንድ ቦታ እንዲገኙ አደረገ
ልክፍታም,ነገረኛ ሰው
ማዶና ማዶ,የማይገናኝ ያልተያያዘ 
ትከሻ ለትከሻ,ጎን ለጎን
እጅ ነሳ,ሰላምታ ሰጠ
ጠፍር ነካሽ,ስግብግብ ነጋዴ
ልቡ አላረፈም,ልቡ ተሰቀለ
ልብ ቀረው,ቅር አለው
ለዛ ቢስ,ደረቅ ሰው የማይሰማ
ልቡ ሳሳ,ከበሽታ የተነሳ ከሳ መነመነ
ያ የቁራ መልክተኛ በዛው ቀረ,ተልኮ መልስ የማያመጣ
አያስችለውም,አይታገስም
ቦታ ማብቃቃት,ማቻቻል
ባላን ደንቆሮ,ባላ ያለውና የሌለው የድር ማድረጊያ
ልባም,አስተዋይ
